,country,article,deviation
49,Croatia ,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
50,Croatia ,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
51,Croatia ,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
52,Croatia ,SECURITY OF PROCESSING (ART 32),No
53,Croatia ,DATA BREACH (ART 33 & 34),No
54,Croatia ,DATA PROTECTION IMPACT ASSESSMENT (ART 35),No
55,Croatia ,DATA PROTECTION OFFICER (ART 37(4)),No
56,Croatia ,CERTIFICATION (ART 42),Yes
57,Croatia ,DATA TRANSFER DEROGATIONS (ART 49(5)),No
58,Croatia ,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
59,Croatia ,CLASS ACTIONS (ART 80 (2)),No
60,Croatia ,ADMINISTRATIVE SANCTIONS (ART 83),Yes
61,Croatia ,PENALTIES (ART 84),No
62,Croatia ,HR PROCESSING (ART 88),No
63,Croatia ,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
64,Croatia ,OBLIGATIONS OF SECRECY (ART 90),Yes
65,Croatia ,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
66,Cyprus,SME EXCEPTION,No
67,Cyprus,LAWFULNESS OF PROCESSING (ART 6),Yes
68,Cyprus,CHILD'S CONSENT (ART 8),Yes
69,Cyprus,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
70,Cyprus,CCTV (ART 6),No
71,Cyprus,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
72,Cyprus,INFORMATION OBLIGATION (ART 13 & 14),Yes
73,Cyprus,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
74,Cyprus,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
75,Cyprus,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
76,Cyprus,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),Yes
77,Cyprus,SECURITY OF PROCESSING (ART 32),No
78,Cyprus,DATA BREACH (ART 33 & 34),Yes
79,Cyprus,DATA PROTECTION IMPACT ASSESSMENT (ART 35),Yes
80,Cyprus,DATA PROTECTION OFFICER (ART 37(4)),No
81,Cyprus,CERTIFICATION (ART 42),Yes
82,Cyprus,DATA TRANSFER DEROGATIONS (ART 49(5)),Yes
83,Cyprus,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
84,Cyprus,CLASS ACTIONS (ART 80 (2)),No
85,Cyprus,ADMINISTRATIVE SANCTIONS (ART 83),Yes
86,Cyprus,PENALTIES (ART 84),Yes
87,Cyprus,FREEDOM OF EXPRESSION AND INFORMATION (ART 85),No
88,Cyprus,HR PROCESSING (ART 88),No
89,Cyprus,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",No
90,Cyprus,OBLIGATIONS OF SECRECY (ART 90),No
91,Cyprus,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
92,Czech Republic,SME EXCEPTION,No
93,Czech Republic,LAWFULNESS OF PROCESSING (ART 6),Yes
94,Czech Republic,CHILD'S CONSENT (ART 8),Yes
95,Czech Republic,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",No
96,Czech Republic,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),No
97,Czech Republic,INFORMATION OBLIGATION (ART 13 & 14),Yes
98,Czech Republic,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
99,Czech Republic,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
100,Czech Republic,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
101,Czech Republic,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
102,Czech Republic,SECURITY OF PROCESSING (ART 32),No
103,Czech Republic,DATA BREACH (ART 33 & 34),No
104,Czech Republic,DATA PROTECTION IMPACT ASSESSMENT (ART 35),Yes
105,Czech Republic,DATA PROTECTION OFFICER (ART 37(4)),Yes
106,Czech Republic,CERTIFICATION (ART 42),No
107,Czech Republic,DATA TRANSFER DEROGATIONS (ART 49(5)),No
108,Czech Republic,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
109,Czech Republic,CLASS ACTIONS (ART 80 (2)),No
110,Czech Republic,ADMINISTRATIVE SANCTIONS (ART 83),Yes
111,Czech Republic,PENALTIES (ART 84),No
112,Czech Republic,FREEDOM OF EXPRESSION AND INFORMATION (ART 85),Yes
113,Czech Republic,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",No
114,Czech Republic,OBLIGATIONS OF SECRECY (ART 90),Yes
115,Czech Republic,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
116,Czech Republic,REMARKS,Yes
117,Denmark,SME EXCEPTION,No
118,Denmark,LAWFULNESS OF PROCESSING (ART 6),No
119,Denmark,CHILD'S CONSENT (ART 8),Yes
120,Denmark,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",No
121,Denmark,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
122,Denmark,INFORMATION OBLIGATION (ART 13 & 14),Yes
123,Denmark,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
124,Denmark,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
125,Denmark,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
126,Denmark,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
127,Denmark,SECURITY OF PROCESSING (ART 32),No
128,Denmark,DATA BREACH (ART 33 & 34),No
129,Denmark,DATA PROTECTION IMPACT ASSESSMENT (ART 35),No
130,Denmark,DATA PROTECTION OFFICER (ART 37(4)),Yes
131,Denmark,CERTIFICATION (ART 42),No
132,Denmark,DATA TRANSFER DEROGATIONS (ART 49(5)),No
133,Denmark,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
134,Denmark,CLASS ACTIONS (ART 80 (2)),No
135,Denmark,ADMINISTRATIVE SANCTIONS (ART 83),No
136,Denmark,PENALTIES (ART 84),Yes
137,Denmark,FREEDOM OF EXPRESSION AND INFORMATION (ART 85),No
138,Denmark,HR PROCESSING (ART 88),No
139,Denmark,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
140,Denmark,OBLIGATIONS OF SECRECY (ART 90),Yes
141,Denmark,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
142,France,LAWFULNESS OF PROCESSING (ART 6),No
143,France,CHILD'S CONSENT (ART 8),No
144,France,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
145,France,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
146,France,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
147,France,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
148,France,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
149,France,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),Yes
150,France,SECURITY OF PROCESSING (ART 32),No
151,France,DATA BREACH (ART 33 & 34),Yes
152,France,DATA PROTECTION OFFICER (ART 37(4)),No
153,France,DATA TRANSFER DEROGATIONS (ART 49(5)),Yes
154,France,POWERS OF SUPERVISORY AUTHORITIES (ART 58),No
155,France,CLASS ACTIONS (ART 80 (2)),Yes
156,France,ADMINISTRATIVE SANCTIONS (ART 83),No
157,France,PENALTIES (ART 84),No
158,France,HR PROCESSING (ART 88),No
159,France,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
160,France,OBLIGATIONS OF SECRECY (ART 90),No
161,France,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
162,France,REMARKS,Yes
163,Germany ,LAWFULNESS OF PROCESSING (ART 6),Yes
164,Germany ,CHILD'S CONSENT (ART 8),No
165,Germany ,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
166,Germany ,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),No
167,Germany ,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),Yes
168,Germany ,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
169,Germany ,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
170,Germany ,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
171,Germany ,SECURITY OF PROCESSING (ART 32),Yes
172,Germany ,DATA BREACH (ART 33 & 34),Yes
173,Germany ,DATA PROTECTION OFFICER (ART 37(4)),Yes
174,Germany ,DATA TRANSFER DEROGATIONS (ART 49(5)),No
175,Germany ,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
176,Germany ,CLASS ACTIONS (ART 80 (2)),No
177,Germany ,ADMINISTRATIVE SANCTIONS (ART 83),Yes
178,Germany ,PENALTIES (ART 84),Yes
179,Germany ,HR PROCESSING (ART 88),Yes
180,Germany ,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
181,Germany ,OBLIGATIONS OF SECRECY (ART 90),Yes
182,Germany ,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
183,Greece,LAWFULNESS OF PROCESSING (ART 6),Yes
184,Greece,CHILD'S CONSENT (ART 8),Yes
185,Greece,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
186,Greece,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
187,Greece,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
188,Greece,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
189,Greece,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
190,Greece,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
191,Greece,SECURITY OF PROCESSING (ART 32),No
192,Greece,DATA BREACH (ART 33 & 34),Yes
193,Greece,DATA PROTECTION OFFICER (ART 37(4)),Yes
194,Greece,DATA TRANSFER DEROGATIONS (ART 49(5)),No
195,Greece,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
196,Greece,CLASS ACTIONS (ART 80 (2)),No
197,Greece,ADMINISTRATIVE SANCTIONS (ART 83),Yes
198,Greece,PENALTIES (ART 84),Yes
199,Greece,HR PROCESSING (ART 88),No
200,Greece,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",No
201,Greece,OBLIGATIONS OF SECRECY (ART 90),No
202,Greece,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
203,Ireland ,LAWFULNESS OF PROCESSING (ART 6),Yes
204,Ireland ,CHILD'S CONSENT (ART 8),Yes
205,Ireland ,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
206,Ireland ,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
207,Ireland ,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),Yes
208,Ireland ,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
209,Ireland ,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
210,Ireland ,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
211,Ireland ,SECURITY OF PROCESSING (ART 32),No
212,Ireland ,DATA BREACH (ART 33 & 34),No
213,Ireland ,DATA PROTECTION OFFICER (ART 37(4)),Yes
214,Ireland ,CERTIFICATION (ART 42),Yes
215,Ireland ,DATA TRANSFER DEROGATIONS (ART 49(5)),No
216,Ireland ,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
217,Ireland ,CLASS ACTIONS (ART 80 (2)),No
218,Ireland ,ADMINISTRATIVE SANCTIONS (ART 83),Yes
219,Ireland ,PENALTIES (ART 84),Yes
220,Ireland ,HR PROCESSING (ART 88),Yes
221,Ireland ,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
222,Ireland ,OBLIGATIONS OF SECRECY (ART 90),No
223,Ireland ,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
224,Ireland ,REMARKS,Yes
225,Italy ,SME EXCEPTION,Yes
226,Italy ,LAWFULNESS OF PROCESSING (ART 6),Yes
227,Italy ,CHILD'S CONSENT (ART 8),Yes
228,Italy ,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
229,Italy ,CCTV (ART 6),No
230,Italy ,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
231,Italy ,INFORMATION OBLIGATION (ART 13 & 14),Yes
232,Italy ,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
233,Italy ,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
234,Italy ,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
235,Italy ,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
236,Italy ,SECURITY OF PROCESSING (ART 32),No
237,Italy ,DATA BREACH (ART 33 & 34),No
238,Italy ,DATA PROTECTION IMPACT ASSESSMENT (ART 35),No
239,Italy ,DATA PROTECTION OFFICER (ART 37(4)),No
240,Italy ,CERTIFICATION (ART 42),No
241,Italy ,DATA TRANSFER DEROGATIONS (ART 49(5)),No
242,Italy ,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
243,Italy ,CLASS ACTIONS (ART 80 (2)),No
244,Italy ,ADMINISTRATIVE SANCTIONS (ART 83),No
245,Italy ,PENALTIES (ART 84),Yes
246,Italy ,FREEDOM OF EXPRESSION AND INFORMATION (ART 85),Yes
247,Italy ,HR PROCESSING (ART 88),Yes
248,Italy ,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
249,Italy ,OBLIGATIONS OF SECRECY (ART 90),Yes
250,Italy ,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
251,Italy ,REMARKS,Yes
252,Latvia,LAWFULNESS OF PROCESSING (ART 6),No
253,Latvia,CHILD'S CONSENT (ART 8),Yes
254,Latvia,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",No
255,Latvia,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
256,Latvia,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
257,Latvia,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
258,Latvia,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
259,Latvia,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
260,Latvia,SECURITY OF PROCESSING (ART 32),No
261,Latvia,DATA BREACH (ART 33 & 34),No
262,Latvia,DATA PROTECTION OFFICER (ART 37(4)),Yes
263,Latvia,DATA TRANSFER DEROGATIONS (ART 49(5)),No
264,Latvia,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
265,Latvia,CLASS ACTIONS (ART 80 (2)),No
266,Latvia,ADMINISTRATIVE SANCTIONS (ART 83),No
267,Latvia,PENALTIES (ART 84),No
268,Latvia,HR PROCESSING (ART 88),No
269,Latvia,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",No
270,Latvia,OBLIGATIONS OF SECRECY (ART 90),No
271,Latvia,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
272,Luxembourg,SME EXCEPTION,No
273,Luxembourg,LAWFULNESS OF PROCESSING (ART 6),No
274,Luxembourg,CHILD'S CONSENT (ART 8),No
275,Luxembourg,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
276,Luxembourg,CCTV (ART 6),No
277,Luxembourg,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
278,Luxembourg,INFORMATION OBLIGATION (ART 13 & 14),Yes
279,Luxembourg,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
280,Luxembourg,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),No
281,Luxembourg,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
282,Luxembourg,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
283,Luxembourg,SECURITY OF PROCESSING (ART 32),No
284,Luxembourg,DATA BREACH (ART 33 & 34),No
285,Luxembourg,DATA PROTECTION IMPACT ASSESSMENT (ART 35),Yes
286,Luxembourg,DATA PROTECTION OFFICER (ART 37(4)),No
287,Luxembourg,CERTIFICATION (ART 42),No
288,Luxembourg,DATA TRANSFER DEROGATIONS (ART 49(5)),No
289,Luxembourg,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
290,Luxembourg,CLASS ACTIONS (ART 80 (2)),Yes
291,Luxembourg,ADMINISTRATIVE SANCTIONS (ART 83),Yes
292,Luxembourg,PENALTIES (ART 84),Yes
293,Luxembourg,FREEDOM OF EXPRESSION AND INFORMATION (ART 85),No
294,Luxembourg,HR PROCESSING (ART 88),No
295,Luxembourg,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",No
296,Luxembourg,OBLIGATIONS OF SECRECY (ART 90),Yes
297,Luxembourg,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
298,Malta,SME EXCEPTION,No
299,Malta,LAWFULNESS OF PROCESSING (ART 6),No
300,Malta,CHILD'S CONSENT (ART 8),Yes
301,Malta,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
302,Malta,CCTV (ART 6),No
303,Malta,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),No
304,Malta,INFORMATION OBLIGATION (ART 13 & 14),No
305,Malta,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
306,Malta,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
307,Malta,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
308,Malta,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
309,Malta,SECURITY OF PROCESSING (ART 32),No
310,Malta,DATA BREACH (ART 33 & 34),No
311,Malta,DATA PROTECTION IMPACT ASSESSMENT (ART 35),No
312,Malta,DATA PROTECTION OFFICER (ART 37(4)),Yes
313,Malta,CERTIFICATION (ART 42),Yes
314,Malta,DATA TRANSFER DEROGATIONS (ART 49(5)),Yes
315,Malta,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
316,Malta,CLASS ACTIONS (ART 80 (2)),No
317,Malta,ADMINISTRATIVE SANCTIONS (ART 83),Yes
318,Malta,PENALTIES (ART 84),Yes
319,Malta,FREEDOM OF EXPRESSION AND INFORMATION (ART 85),Yes
320,Malta,HR PROCESSING (ART 88),No
321,Malta,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
322,Malta,OBLIGATIONS OF SECRECY (ART 90),No
323,Malta,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
324,Malta,REMARKS,Yes
325,Netherlands,SME EXCEPTION,No
326,Netherlands,LAWFULNESS OF PROCESSING (ART 6),No
327,Netherlands,CHILD'S CONSENT (ART 8),Yes
328,Netherlands,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
329,Netherlands,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
330,Netherlands,INFORMATION OBLIGATION (ART 13 & 14),No
331,Netherlands,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),Yes
332,Netherlands,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
333,Netherlands,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
334,Netherlands,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
335,Netherlands,SECURITY OF PROCESSING (ART 32),No
336,Netherlands,DATA BREACH (ART 33 & 34),Yes
337,Netherlands,DATA PROTECTION IMPACT ASSESSMENT (ART 35),No
338,Netherlands,DATA PROTECTION OFFICER (ART 37(4)),No
339,Netherlands,CERTIFICATION (ART 42),No
340,Netherlands,DATA TRANSFER DEROGATIONS (ART 49(5)),No
341,Netherlands,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
342,Netherlands,CLASS ACTIONS (ART 80 (2)),Yes
343,Netherlands,ADMINISTRATIVE SANCTIONS (ART 83),Yes
344,Netherlands,PENALTIES (ART 84),No
345,Netherlands,FREEDOM OF EXPRESSION AND INFORMATION (ART 85),No
346,Netherlands,HR PROCESSING (ART 88),No
347,Netherlands,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
348,Netherlands,OBLIGATIONS OF SECRECY (ART 90),Yes
349,Netherlands,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
350,Poland,SME EXCEPTION,No
351,Poland,LAWFULNESS OF PROCESSING (ART 6),No
352,Poland,CCTV (ART 6),Yes
353,Poland,EMPLOYEE EMAIL MONITORING,Yes
354,Poland,CHILD'S CONSENT (ART 8),No
355,Poland,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",No
356,Poland,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),No
357,Poland,INFORMATION OBLIGATION (ART 13 & 14),No
358,Poland,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
359,Poland,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
360,Poland,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
361,Poland,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
362,Poland,SECURITY OF PROCESSING (ART 32),No
363,Poland,DATA BREACH (ART 33 & 34),No
364,Poland,DATA PROTECTION IMPACT ASSESSMENT (ART 35),No
365,Poland,DATA PROTECTION OFFICER (ART 37(4)),Yes
366,Poland,CERTIFICATION (ART 42),Yes
367,Poland,DATA TRANSFER DEROGATIONS (ART 49(5)),No
368,Poland,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
369,Poland,CLASS ACTIONS (ART 80 (2)),No
370,Poland,CIVIL LIABILITY (ART 82),Yes
371,Poland,ADMINISTRATIVE SANCTIONS (ART 83),Yes
372,Poland,PENALTIES (ART 84),Yes
373,Poland,FREEDOM OF EXPRESSION AND INFORMATION (ART 85),No
374,Poland,HR PROCESSING (ART 88),No
375,Poland,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",No
376,Poland,OBLIGATIONS OF SECRECY (ART 90),Yes
377,Poland,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
378,Slovakia,LAWFULNESS OF PROCESSING (ART 6),No
379,Slovakia,CHILD'S CONSENT (ART 8),No
380,Slovakia,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
381,Slovakia,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),No
382,Slovakia,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
383,Slovakia,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
384,Slovakia,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
