,GDPR & U.S Law Data,GDPR & U.S Law Data.1,GDPR & U.S Law Data.2
16,16. Right to rectification,"The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal data completed, including by means of providing a supplementary statement.","Privacy Act of 1974, 5 U.S.C. § 552a.*
…
(d) ACCESS TO RECORDS.—Each agency that maintains a system of records shall— 
(1) upon request by any individual to gain access to his record or to any information pertaining to him which is contained in the system, permit him and upon his request, a person of his own choosing to accompany him, to review the record and have a copy made of all or any portion thereof in a form comprehensible to him, except that the agency may require the individual to furnish a written statement authorizing discussion of that individual's record in the accompanying person's presence; 
(2) permit the individual to request amendment of a record pertaining to him and—
(A) not later than 10 days (excluding Saturdays, Sundays, and legal public holidays) after the date of receipt of such request, acknowledge in writing such receipt; and 
(B) promptly, either—
(i) make any correction of any portion thereof which the individual believes is not accurate, relevant, timely, or complete; or 
(ii) inform the individual of its refusal to amend the record in accordance with his request, the reason for the refusal, the procedures established by the agency for the individual to request a review of that refusal by the head of the agency or an officer designated by the head of the agency, and the name and business address of that official; 
(3) permit the individual who disagrees with the refusal of the agency to amend his record to request a review of such refusal, and not later than 30 days (excluding Saturdays, Sundays, and legal public holidays) from the date on which the individual requests such review, complete such review and make a final determination unless, for good cause shown, the head of the agency extends such 30-day period; and if, after his review, the reviewing official also refuses to amend the record in accordance with the request, permit the individual to file with the agency a concise statement setting forth the reasons for his disagreement with the refusal of the agency, and notify the individual of the provisions for judicial review of the reviewing official's determination under subsection (g)(1)(A) of this section; 
(4) in any disclosure, containing information about which the individual has filed a statement of disagreement, occurring after the filing of the statement under paragraph (3) of this subsection, clearly note any portion of the record which is disputed and provide copies of the statement and, if the agency deems it appropriate, copies of a concise statement of the reasons of the agency for not making the amendments requested, to persons or other agencies to whom the disputed record has been disclosed; and 
(5) nothing in this section shall allow an individual access to any information compiled in reasonable anticipation of a civil action or proceeding.
…"
17,17. Right to erasure ('right to be forgotten'),"1. The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies: 
(a) the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed; 
(b) the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing;
(c) the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds for the processing, or the data subject objects to the processing pursuant to Article 21(2); 
(d) the personal data have been unlawfully processed; 
(e) the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject; 
(f) the personal data have been collected in relation to the offer of information society services referred to in Article 8(1). 
2. Where the controller has made the personal data public and is obliged pursuant to paragraph 1 to erase the personal data, the controller, taking account of available technology and the cost of implementation, shall take reasonable steps, including technical measures, to inform controllers which are processing the personal data that the data subject has requested the erasure by such controllers of any links to, or copy or replication of, those personal data. 
3. Paragraphs 1 and 2 shall not apply to the extent that processing is necessary: 
(a) for exercising the right of freedom of expression and information; 
(b) for compliance with a legal obligation which requires processing by Union or Member State law to which the controller is subject or for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;
(c) for reasons of public interest in the area of public health in accordance with points (h) and (i) of Article 9(2) as well as Article 9(3); 
(d) for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) in so far as the right referred to in paragraph 1 is likely to render impossible or seriously impair the achievement of the objectives of that processing; or 
(e) for the establishment, exercise or defence of legal claims.",N/A. No comparable right in U.S. law. 
18,18. Right to restriction of processing,"1. The data subject shall have the right to obtain from the controller restriction of processing where one of the following applies: 
(a) the accuracy of the personal data is contested by the data subject, for a period enabling the controller to verify the accuracy of the personal data; 
(b) the processing is unlawful and the data subject opposes the erasure of the personal data and requests the restriction of their use instead; 
(c) the controller no longer needs the personal data for the purposes of the processing, but they are required by the data subject for the establishment, exercise or defence of legal claims;
(d) the data subject has objected to processing pursuant to Article 21(1) pending the verification whether the legitimate grounds of the controller override those of the data subject. 
2. Where processing has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed with the data subject's consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State. 
3. A data subject who has obtained restriction of processing pursuant to paragraph 1 shall be informed by the controller before the restriction of processing is lifted.","N/A. Processing (as opposed to collection, use, and sharing) is a GDPR-specific concept. U.S. law has specific limitations on collection, use, and sharing."
19,19. Notification obligation regarding rectification or erasure of personal data or restriction of processing,"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Articles 16, 17(1) and 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. The controller shall inform the data subject about those recipients if the data subject requests it.","Privacy Act of 1974, 5 U.S.C. § 552a.*
…
(c) ACCOUNTING OF CERTAIN DISCLOSURES.— Each agency, with respect to each system of records under its control, shall—
(4) inform any person or other agency about
any correction or notation of dispute made by
the agency in accordance with subsection (d)
of this section of any record that has been disclosed to the person or agency if an accounting of the disclosure was made.
(d) ACCESS TO RECORDS.—Each agency that maintains a system of records shall—
…
(2) permit the individual to request amendment of a record pertaining to him and—
(A) not later than 10 days (excluding Saturdays, Sundays, and legal public holidays) after the date of receipt of such request, acknowledge in writing such receipt; and
(B) promptly, either—
(i) make any correction of any portion thereof which the individual believes is not accurate, relevant, timely, or complete; or
(ii) inform the individual of its refusal to amend the record in accordance with his request, the reason for the refusal, the procedures established by the agency for the
individual to request a review of that refusal by the head of the agency or an officer designated by the head of the agency, and the name and business address of that
official;
…"
20,20. Right to data portability,"1. The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided, where: 
(a) the processing is based on consent pursuant to point (a) of Article 6(1) or point (a) of Article 9(2) or on a contract pursuant to point (b) of Article 6(1); and 
(b) the processing is carried out by automated means. 
2. In exercising his or her right to data portability pursuant to paragraph 1, the data subject shall have the right to have the personal data transmitted directly from one controller to another, where technically feasible. 
3. The exercise of the right referred to in paragraph 1 of this Article shall be without prejudice to Article 17. That right shall not apply to processing necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller. 
4. The right referred to in paragraph 1 shall not adversely affect the rights and freedoms of others.","The Freedom of Information Act, 5 U.S.C. § 552 As Amended By Public Law No. 110-175, 121 Stat. 2524.
(a) Each agency shall make available to the public information as follows: 
…
(3)(A) Except with respect to the records made available under paragraphs (1) and (2) of this subsection, and except as provided in subparagraph (E), each agency, upon any request for records which (i) reasonably describes such records and (ii) is made in accordance with published rules stating the time, place, fees (if any), and procedures to be followed, shall make the records promptly available to any person.
(B) In making any record available to a person under this paragraph, an agency shall provide the record in any form or format requested by the person if the record is readily reproducible by the agency in that form or format. Each agency shall make reasonable efforts to maintain its records in forms or formats that are reproducible for purposes of this section.
(C) In responding under this paragraph to a request for records, an agency shall make reasonable efforts to search for the records in electronic form or format, except when such efforts would significantly interfere with the operation of the agency's automated information system.
…"
21,21. Right to object,"1. The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on points (e) or (f) of Article 6(1), including profiling based on those provisions. The controller shall no longer process the personal data unless the controller demonstrates compelling legitimate grounds for the processing which override the interests, rights and freedoms of the data subject or for the establishment, exercise or defence of legal claims. 
2. Where personal data are processed for direct marketing purposes, the data subject shall have the right to object at any time to processing of personal data concerning him or her for such marketing, which includes profiling to the extent that it is related to such direct marketing. 
3. Where the data subject objects to processing for direct marketing purposes, the personal data shall no longer be processed for such purposes. 
4. At the latest at the time of the first communication with the data subject, the right referred to in paragraphs 1 and 2 shall be explicitly brought to the attention of the data subject and shall be presented clearly and separately from any other information.
5. In the context of the use of information society services, and notwithstanding Directive 2002/58/EC, the data subject may exercise his or her right to object by automated means using technical specifications. 
6. Where personal data are processed for scientific or historical research purposes or statistical purposes pursuant to Article 89(1), the data subject, on grounds relating to his or her particular situation, shall have the right to object to processing of personal data concerning him or her, unless the processing is necessary for the performance of a task carried out for reasons of public interest.","N/A. Processing (as opposed to collection, use, and sharing) is a GDPR-specific concept. U.S. law has specific limitations on collection, use, and sharing."
22,"22. Automated individual decision-making, including profiling","1. The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning him or her or similarly significantly affects him or her. 
2. Paragraph 1 shall not apply if the decision: 
(a) is necessary for entering into, or performance of, a contract between the data subject and a data controller; 
(b) is authorised by Union or Member State law to which the controller is subject and which also lays down suitable measures to safeguard the data subject's rights and freedoms and legitimate interests; or 
(c) is based on the data subject's explicit consent.
3. In the cases referred to in points (a) and (c) of paragraph 2, the data controller shall implement suitable measures to safeguard the data subject's rights and freedoms and legitimate interests, at least the right to obtain human intervention on the part of the controller, to express his or her point of view and to contest the decision. 
4. Decisions referred to in paragraph 2 shall not be based on special categories of personal data referred to in Article 9(1), unless point (a) or (g) of Article 9(2) apply and suitable measures to safeguard the data subject's rights and freedoms and legitimate interests are in place.","Privacy Act of 1974, 5 U.S.C. § 552a.*
… 
(o) MATCHING AGREEMENTS.—
(1) No record which is contained in a system of records may be disclosed to a recipient agency or non-Federal agency for use in a computer matching program except pursuant to a written agreement between the source agency and the recipient agency or non-Federal agency specifying—
(A) the purpose and legal authority for conducting the program;
(B) the justification for the program and the
anticipated results, including a specific estimate of any savings;
(C) a description of the records that will be matched, including each data element that will be used, the approximate number of records that will be matched, and the projected starting and completion dates of the
matching program;
(D) procedures for providing individualized notice at the time of application, and notice periodically thereafter as directed by the Data Integrity Board of such agency (subject to guidance provided by the Director of the Office of Management and Budget pursuant to subsection (v)), to— 
(i) applicants for and recipients of financial assistance or payments under Federal benefit programs, and
(ii) applicants for and holders of positions as Federal personnel, that any information provided by such applicants, recipients, holders, and individuals may be subject to verification through matching programs;
(E) procedures for verifying information produced in such matching program as required by subsection (p);
(F) procedures for the retention and timely destruction of identifiable records created by a recipient agency or non-Federal agency in such matching program;
(G) procedures for ensuring the administrative, technical, and physical security of the records matched and the results of such programs;
(H) prohibitions on duplication and redisclosure of records provided by the source agency within or outside the recipient agency or the non-Federal agency, except where required by law or essential to the conduct of the matching program;
(I) procedures governing the use by a recipient agency or non-Federal agency of records provided in a matching program by a source agency, including procedures governing return of the records to the source agency or destruction of records used in such program;
(J) information on assessments that have been made on the accuracy of the records that will be used in such matching program; and
(K) that the Comptroller General may have access to all records of a recipient agency or a non-Federal agency that the Comptroller General deems necessary in order to monitor or verify compliance with the agreement.
…
(p) VERIFICATION AND OPPORTUNITY TO CONTEST FINDINGS.—
(1) In order to protect any individual whose records are used in a matching program, no recipient agency, non-Federal agency, or source agency may suspend, terminate, reduce, or make a final denial of any financial assistance or payment under a Federal benefit program to such individual, or take other adverse action against such individual, as a result of information produced by such matching program,
until—
(A)(i) the agency has independently verified the information; or
(ii) the Data Integrity Board of the agency, or in the case of a non-Federal agency the Data Integrity Board of the source agency, determines in accordance with guidance issued by the Director of the Office of Management and Budget that—
(I) the information is limited to identification and amount of benefits paid by the source agency under a Federal benefit program;
and
(II) there is a high degree of confidence that the information provided to the recipient agency is accurate;
(B) the individual receives a notice from the agency containing a statement of its findings and informing the individual of the opportunity to contest such findings; and
(C)(i) the expiration of any time period established for the program by statute or regulation for the individual to respond to that notice; or
(ii) in the case of a program for which no such period is established, the end of the 30-day period beginning on the date on which notice under subparagraph (B) is mailed or otherwise provided to the individual.
(2) Independent verification referred to in paragraph (1) requires investigation and confirmation of specific information relating to an individual that is used as a basis for an adverse action against the individual, including where applicable investigation and confirmation of—
(A) the amount of any asset or income involved;
(B) whether such individual actually has or
had access to such asset or income for such individual’s own use; and
(C) the period or periods when the individual actually had such asset or income.
(3) Notwithstanding paragraph (1), an agency may take any appropriate action otherwise prohibited by such paragraph if the agency determines that the public health or public safety may be adversely affected or significantly threatened during any notice period required by such paragraph.
…"
23,23. Restrictions,"1. Union or Member State law to which the data controller or processor is subject may restrict by way of a legislative measure the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5 in so far as its provisions correspond to the rights and obligations provided for in Articles 12 to 22, when such a restriction respects the essence of the fundamental rights and freedoms and is a necessary and proportionate measure in a democratic society to safeguard: 
(a) national security;
(b) defence; 
(c) public security; 
(d) the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security; 
(e) other important objectives of general public interest of the Union or of a Member State, in particular an important economic or financial interest of the Union or of a Member State, including monetary, budgetary and taxation a matters, public health and social security; 
(f) the protection of judicial independence and judicial proceedings; 
(g) the prevention, investigation, detection and prosecution of breaches of ethics for regulated professions; 
(h) a monitoring, inspection or regulatory function connected, even occasionally, to the exercise of official authority in the cases referred to in points (a), (b), (c), (d), (e) and (g); 
(i) the protection of the data subject or the rights and freedoms of others; 
(j) the enforcement of civil law claims.
2. In particular, any legislative measure referred to in paragraph 1 shall contain specific provisions at least, where relevant, as to: 
(a) the purposes of the processing or categories of processing; 
(b) the categories of personal data; 
(c) the scope of the restrictions introduced; 
(d) the safeguards to prevent abuse or unlawful access or transfer; 
(e) the specification of the controller or categories of controllers; 
(f) the storage periods and the applicable safeguards taking into account the nature, scope and purposes of the processing or categories of processing; 
(g) the risks to the rights and freedoms of data subjects; and 
(h) the right of data subjects to be informed about the restriction, unless that may be prejudicial to the purpose of the restriction.",N/A. Member State responsibility.
24,24. Responsibility of the controller,"1. Taking into account the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons, the controller shall implement appropriate technical and organisational measures to ensure and to be able to demonstrate that processing is performed in accordance with this Regulation. Those measures shall be reviewed and updated where necessary. 
2. Where proportionate in relation to processing activities, the measures referred to in paragraph 1 shall include the implementation of appropriate data protection policies by the controller. 
3. Adherence to approved codes of conduct as referred to in Article 40 or approved certification mechanisms as referred to in Article 42 may be used as an element by which to demonstrate compliance with the obligations of the controller.",N/A. GDPR-specific requirement.
25,25. Data protection by design and by default,"1. Taking into account the state of the art, the cost of implementation and the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for rights and freedoms of natural persons posed by the processing, the controller shall, both at the time of the determination of the means for processing and at the time of the processing itself, implement appropriate technical and organisational measures, such as pseudonymisation, which are designed to implement data-protection principles, such as data minimisation, in an effective manner and to integrate the necessary safeguards into the processing in order to meet the requirements of this Regulation and protect the rights of data subjects. 
2. The controller shall implement appropriate technical and organisational measures for ensuring that, by default, only personal data which are necessary for each specific purpose of the processing are processed. That obligation applies to the amount of personal data collected, the extent of their processing, the period of their storage and their accessibility. In particular, such measures shall ensure that by default personal data are not made accessible without the individual's intervention to an indefinite number of natural persons. 
3. An approved certification mechanism pursuant to Article 42 may be used as an element to demonstrate compliance with the requirements set out in paragraphs 1 and 2 of this Article.","Federal Information Security Modernization Act of 2014 (FISMA), Public Law 113-283. 
SUBCHAPTER II—INFORMATION SECURITY 
§ 3551. Purposes 
The purposes of this subchapter are to— 
(1) provide a comprehensive framework for ensuring the effectiveness of information security controls over information resources that support Federal operations and assets; 
(2) recognize the highly networked nature of the current Federal computing environment and provide effective governmentwide management and oversight of the related information security risks, including coordination of information security efforts throughout the civilian, national security, and law enforcement communities;
(3) provide for development and maintenance of minimum controls required to protect Federal information and information systems; 
(4) provide a mechanism for improved oversight of Federal agency information security programs, including through automated security tools to continuously diagnose and improve security; 
(5) acknowledge that commercially developed information security products offer advanced, dynamic, robust, and effective information security solutions, reflecting market solutions for the protection of critical information infrastructures important to the national defense and economic security of the nation that are designed, built, and operated by the private sector; and 
(6) recognize that the selection of specific technical hardware and software information security solutions should be left to individual agencies from among commercially developed products.

Privacy Act of 1974, 5 U.S.C. § 552a.*
…
(e) AGENCY REQUIREMENTS.
…
(9) establish rules of conduct for persons involved in the design, development, operation, or maintenance of any system of records, or in maintaining any record, and instruct each such person with respect to such rules and the requirements of this section, including any other rules and procedures adopted pursuant to this section and the penalties for noncompliance; 
(10) establish appropriate administrative, technical, and physical safeguards to insure the security and confidentiality of records and to protect against any anticipated threats or hazards to their security or integrity which could result in substantial harm, embarrassment, inconvenience, or unfairness to any individual on whom information is maintained;
…"
26,26. Joint controllers,"1. Where two or more controllers jointly determine the purposes and means of processing, they shall be joint controllers. They shall in a transparent manner determine their respective responsibilities for compliance with the obligations under this Regulation, in particular as regards the exercising of the rights of the data subject and their respective duties to provide the information referred to in Articles 13 and 14, by means of an arrangement between them unless, and in so far as, the respective responsibilities of the controllers are determined by Union or Member State law to which the controllers are subject. The arrangement may designate a contact point for data subjects. 
2. The arrangement referred to in paragraph 1 shall duly reflect the respective roles and relationships of the joint controllers vis-à-vis the data subjects. The essence of the arrangement shall be made available to the data subject. 
3. Irrespective of the terms of the arrangement referred to in paragraph 1, the data subject may exercise his or her rights under this Regulation in respect of and against each of the controllers.",N/A. GDPR-specific terminology. 
27,27. Representatives of controllers or processors not established in the Union,"1. Where Article 3(2) applies, the controller or the processor shall designate in writing a representative in the Union.
2. This obligation shall not apply to: 
(a) processing which is occasional, does not include, on a large scale, processing of special categories of data as referred to in Article 9(1) or processing of personal data relating to criminal convictions and offences referred to in Article 10, and is unlikely to result in a risk to the rights and freedoms of natural persons, taking into account the nature, context, scope and purposes of the processing; or 
(b) a public authority or body. 
3. The representative shall be established in one of those Member States where the data subjects are and whose personal data are processed in relation to the offering of goods or services to them, or whose behaviour is monitored. 
4. The representative shall be mandated by the controller or processor to be addressed in addition to or instead of the controller or the processor by, in particular, supervisory authorities and data subjects, on all issues related to processing, for the purposes of ensuring compliance with this Regulation. 
5. The designation of a representative by the controller or processor shall be without prejudice to legal actions which could be initiated against the controller or the processor themselves.",N/A. GDPR-specific terminology. 
28,28. Processor,"1. Where processing is to be carried out on behalf of a controller, the controller shall use only processors providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that processing will meet the requirements of this Regulation and ensure the protection of the rights of the data subject. 
2. The processor shall not engage another processor without prior specific or general written authorisation of the controller. In the case of general written authorisation, the processor shall inform the controller of any intended changes concerning the addition or replacement of other processors, thereby giving the controller the opportunity to object to such changes. 
3. Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate, in particular, that the processor: 
(a) processes the personal data only on documented instructions from the controller, including with regard to transfers of personal data to a third country or an international organisation, unless required to do so by Union or Member State law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;
(b) ensures that persons authorised to process the personal data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality; 
(c) takes all measures required pursuant to Article 32; 
(d) respects the conditions referred to in paragraphs 2 and 4 for engaging another processor; 
(e) taking into account the nature of the processing, assists the controller by appropriate technical and organisational measures, insofar as this is possible, for the fulfilment of the controller's obligation to respond to requests for exercising the data subject's rights laid down in Chapter III; 
(f) assists the controller in ensuring compliance with the obligations pursuant to Articles 32 to 36 taking into account the nature of processing and the information available to the processor; 
(g) at the choice of the controller, deletes or returns all the personal data to the controller after the end of the provision of services relating to processing, and deletes existing copies unless Union or Member State law requires storage of the personal data;
(h) makes available to the controller all information necessary to demonstrate compliance with the obligations laid down in this Article and allow for and contribute to audits, including inspections, conducted by the controller or another auditor mandated by the controller. 
With regard to point (h) of the first subparagraph, the processor shall immediately inform the controller if, in its opinion, an instruction infringes this Regulation or other Union or Member State data protection provisions. 
4. Where a processor engages another processor for carrying out specific processing activities on behalf of the controller, the same data protection obligations as set out in the contract or other legal act between the controller and the processor as referred to in paragraph 3 shall be imposed on that other processor by way of a contract or other legal act under Union or Member State law, in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the processing will meet the requirements of this Regulation. Where that other processor fails to fulfil its data protection obligations, the initial processor shall remain fully liable to the controller for the performance of that other processor's obligations. 
5. Adherence of a processor to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate sufficient guarantees as referred to in paragraphs 1 and 4 of this Article.
6. Without prejudice to an individual contract between the controller and the processor, the contract or the other legal act referred to in paragraphs 3 and 4 of this Article may be based, in whole or in part, on standard contractual clauses referred to in paragraphs 7 and 8 of this Article, including when they are part of a certification granted to the controller or processor pursuant to Articles 42 and 43. 
7. The Commission may lay down standard contractual clauses for the matters referred to in paragraph 3 and 4 of this Article and in accordance with the examination procedure referred to in Article 93(2). 
8. A supervisory authority may adopt standard contractual clauses for the matters referred to in paragraph 3 and 4 of this Article and in accordance with the consistency mechanism referred to in Article 63. 
9. The contract or the other legal act referred to in paragraphs 3 and 4 shall be in writing, including in electronic form. 
10. Without prejudice to Articles 82, 83 and 84, if a processor infringes this Regulation by determining the purposes and means of processing, the processor shall be considered to be a controller in respect of that processing.",N/A. GDPR-specific terminology.
29,29. Processing under the authority of the controller or processor,"The processor and any person acting under the authority of the controller or of the processor, who has access to personal data, shall not process those data except on instructions from the controller, unless required to do so by Union or Member State law.",N/A. GDPR-specific terminology.
30,30. Records of processing activities,"1. Each controller and, where applicable, the controller's representative, shall maintain a record of processing activities under its responsibility. That record shall contain all of the following information: 
(a) the name and contact details of the controller and, where applicable, the joint controller, the controller's representative and the data protection officer; 
(b) the purposes of the processing; 
(c) a description of the categories of data subjects and of the categories of personal data; 
(d) the categories of recipients to whom the personal data have been or will be disclosed including recipients in third countries or international organisations; 
(e) where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of appropriate safeguards; 
(f) where possible, the envisaged time limits for erasure of the different categories of data; 
(g) where possible, a general description of the technical and organisational security measures referred to in Article 32(1).
2. Each processor and, where applicable, the processor's representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing: 
(a) the name and contact details of the processor or processors and of each controller on behalf of which the processor is acting, and, where applicable, of the controller's or the processor's representative, and the data protection officer; 
(b) the categories of processing carried out on behalf of each controller; 
(c) where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of appropriate safeguards; 
(d) where possible, a general description of the technical and organisational security measures referred to in Article 32(1). 
3. The records referred to in paragraphs 1 and 2 shall be in writing, including in electronic form. 
4. The controller or the processor and, where applicable, the controller's or the processor's representative, shall make the record available to the supervisory authority on request.
5. The obligations referred to in paragraphs 1 and 2 shall not apply to an enterprise or an organisation employing fewer than 250 persons unless the processing it carries out is likely to result in a risk to the rights and freedoms of data subjects, the processing is not occasional, or the processing includes special categories of data as referred to in Article 9(1) or personal data relating to criminal convictions and offences referred to in Article 10.","E-Government Act of 2002, Public Law  107–347, Dec. 17 2002.
§ 208. Privacy provisions. 
…
(b) PRIVACY IMPACT ASSESSMENTS.--
(1) RESPONSIBILITIES OF AGENCIES.--
(A) In general.--An agency shall take actions described under subparagraph (B) before--
(i) developing or procuring information technology that collects, maintains, or disseminates information that is in an identifiable form; or
(ii) initiating a new collection of information that--
(I) will be collected, maintained, or disseminated using information technology; and
(II) includes any information in an identifiable form permitting the physical or online contacting of a specific individual, if identical questions have been posed to, or identical reporting requirements imposed on, 10 or more persons, other than agencies, instrumentalities, or employees of the Federal Government.
…
(2) CONTENTS OF A PRIVACY IMPACT ASSESSMENT. —
…
(B) GUIDANCE.—The guidance shall—
(i) ensure that a privacy impact assessment is
commensurate with the size of the information system being assessed, the sensitivity of information that is in an identifiable form in that system, and the risk
of harm from unauthorized release of that information; and
(ii) require that a privacy impact assessment
address—
(I) what information is to be collected;
(II) why the information is being collected;
(III) the intended use of the agency of the
information;
(IV) with whom the information will be shared;
(V) what notice or opportunities for consent
would be provided to individuals regarding what information is collected and how that information is shared;
(VI) how the information will be secured; and
(VII) whether a system of records is being
created under section 552a of title 5, United States Code, (commonly referred to as the ‘‘Privacy Act’’).
…

Privacy Act of 1974, 5 U.S.C. § 552a.*
… 
(c) ACCOUNTING OF CERTAIN DISCLOSURES.—Each agency, with respect to each system of
records under its control, shall—
(1) except for disclosures made under subsections (b)(1) or (b)(2) of this section, keep an accurate accounting of—
(A) the date, nature, and purpose of each
disclosure of a record to any person or to another agency made under subsection (b) of
this section; and
(B) the name and address of the person or
agency to whom the disclosure is made;
(2) retain the accounting made under paragraph (1) of this subsection for at least five years or the life of the record, whichever is longer, after the disclosure for which the accounting is made;
(3) except for disclosures made under subsection (b)(7) of this section, make the accounting made under paragraph (1) of this subsection available to the individual named in the record at his request; and
(4) inform any person or other agency about
any correction or notation of dispute made by
the agency in accordance with subsection (d)
of this section of any record that has been disclosed to the person or agency if an accounting of the disclosure was made.
…
(e) AGENCY REQUIREMENTS.
…
(4) subject to the provisions of paragraph (11) of this subsection, publish in the Federal Register upon establishment or revision a notice of the existence and character of the system of records, which notice shall include—
(A) the name and location of the system; 
(B) the categories of individuals on whom records are maintained in the system; 
(C) the categories of records maintained in the system; 
(D) each routine use of the records contained in the system, including the categories of users and the purpose of such use; 
(E) the policies and practices of the agency regarding storage, retrievability, access controls, retention, and disposal of the records; 
(F) the title and business address of the agency official who is responsible for the system of records; 
(G) the agency procedures whereby an individual can be notified at his request if the system of records contains a record pertaining to him; 
(H) the agency procedures whereby an individual can be notified at his request how he can gain access to any record pertaining to him contained in the system of records, and how he can contest its content; and 
(I) the categories of sources of records in the system; 
…"
31,31. Cooperation with the supervisory authority,"The controller and the processor and, where applicable, their representatives, shall cooperate, on request, with the supervisory authority in the performance of its tasks.",N/A. GDPR-specific requirement.
